2021-04-17_17:01:53.238 [main] INFO  c.w.l.PostServiceApplicationTests - Starting PostServiceApplicationTests using Java 11.0.3 on WINAPp9SyIy5ki6 with PID 19248 (started by jean.pereira.sampaio in C:\PROJETO-SPRING-CLOUD\2-TEST-START-REPO\project-spring-cloud\post-service)
2021-04-17_17:01:53.242 [main] INFO  c.w.l.PostServiceApplicationTests - No active profile set, falling back to default profiles: default
2021-04-17_17:01:54.989 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=5c7b8305-39dd-36d2-8bf2-0fafc05ed0cb
2021-04-17_17:01:56.706 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-17_17:01:59.562 [main] INFO  c.w.l.PostServiceApplicationTests - Started PostServiceApplicationTests in 8.339 seconds (JVM running for 10.31)
2021-04-17_17:02:00.548 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-04-17_17:21:17.929 [restartedMain] INFO  c.w.l.PostServiceApplication - Starting PostServiceApplication using Java 11.0.3 on WINAPp9SyIy5ki6 with PID 14248 (C:\PROJETO-SPRING-CLOUD\2-TEST-START-REPO\project-spring-cloud\post-service\target\classes started by jean.pereira.sampaio in C:\PROJETO-SPRING-CLOUD\2-TEST-START-REPO\project-spring-cloud\post-service)
2021-04-17_17:21:17.935 [restartedMain] INFO  c.w.l.PostServiceApplication - No active profile set, falling back to default profiles: default
2021-04-17_17:21:18.066 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-04-17_17:21:18.068 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-04-17_17:21:19.578 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=7376f56d-97b3-316e-b15d-4b0d04f46058
2021-04-17_17:21:21.095 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9006 (http)
2021-04-17_17:21:21.112 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-04-17_17:21:21.113 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.44]
2021-04-17_17:21:21.308 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-04-17_17:21:21.309 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3239 ms
2021-04-17_17:21:22.834 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-04-17_17:21:23.414 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-04-17_17:21:24.213 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9006 (http) with context path ''
2021-04-17_17:21:24.646 [restartedMain] INFO  c.w.l.PostServiceApplication - Started PostServiceApplication in 8.724 seconds (JVM running for 9.725)
2021-04-17_17:21:36.119 [http-nio-9006-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-04-17_17:21:36.121 [http-nio-9006-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-04-17_17:21:36.125 [http-nio-9006-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-04-17_17:21:36.200 [http-nio-9006-exec-2] INFO  c.w.l.post.service.PostServiceImpl - Finding details of all posts
